Property ID,Result
R124428,Error scraping ID R124428: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124428
R124429,Error scraping ID R124429: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124429
R124430,Error scraping ID R124430: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124430
R124431,Error scraping ID R124431: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124431
R124433,Error scraping ID R124433: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124433
R124435,Error scraping ID R124435: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124435
R124437,Error scraping ID R124437: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124437
R124438,Error scraping ID R124438: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124438
R124439,Error scraping ID R124439: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124439
R124440,Error scraping ID R124440: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124440
R124441,Error scraping ID R124441: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124441
R124442,Error scraping ID R124442: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124442
R124443,Error scraping ID R124443: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124443
R124444,Error scraping ID R124444: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124444
R124445,Error scraping ID R124445: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124445
R124447,Error scraping ID R124447: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124447
R124448,Error scraping ID R124448: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124448
R124449,Error scraping ID R124449: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124449
R124450,Error scraping ID R124450: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124450
R124451,Error scraping ID R124451: Connection timeout to host http://taxsearch.co.grayson.tx.us:8443/Property-Detail/PropertyQuickRefID/R124451
